time,price,size,brs,title,link,loc
2015-12-28 09:50:00,2399.0,,2.0,NO FEE    AWESOME 2.5BR  BALCONY   HURRY UP   MUST SEE,/brk/abo/5363602023.html,brk
2015-12-28 09:48:00,2400.0,,1.0,SPACIOUS 1 BR / 1BA APARTMENT IN THE HEART OF PARK SLOPE,/brk/fee/5377429668.html,brk
2015-12-28 09:48:00,3597.0,,3.0,Flex 4 Bed  Wilson L 2 blocks away  No Fee,/brk/abo/5353050284.html,brk
2015-12-28 09:48:00,1998.0,,2.0,Train Flexible Bushwick Apartment  Wilson L,/brk/abo/5353038962.html,brk
2015-12-28 09:48:00,2947.0,,4.0,True 4 Bed  Backyard Laundry  Bushiwkc Aberdeen L and CH JMZ,/brk/abo/5353046670.html,brk
2015-12-28 09:48:00,2948.0,,4.0,4 Bed / 2 Bath Under 3 K  No Fee,/brk/abo/5353041994.html,brk
2015-12-28 09:48:00,2145.0,,1.0,SPOILER ALERT Breathtaking One bed apartment home In Desired Location,/brk/abo/5377350042.html,brk
2015-12-28 09:48:00,2998.0,,3.0, Private Backhouse  Jefferson L ,/brk/abo/5358238751.html,brk
2015-12-28 09:48:00,2299.0,,2.0,Parking Garage  Rooftop Garden  Dekalb L,/brk/abo/5358252634.html,brk
2015-12-28 09:47:00,600.0,998.0,2.0,4br need a whole house for rent  click hereHouston TX,/brk/abo/5373443665.html,brk
2015-12-28 09:47:00,400.0,800.0,2.0,Luxury 2 Bedroom House for rent in Columbus,/brk/abo/5373444700.html,brk
2015-12-28 09:46:00,2745.0,,3.0, MUST SEE  AMAZING 2BR CONV. 3BR APT  ROOF  WILL NOT LAST,/brk/abo/5354529982.html,brk
2015-12-28 09:46:00,2585.0,,2.0,Why Worry About Utilities 2 Bdrm Unit 2585/month utilities included,/brk/abo/5377341842.html,brk
2015-12-28 09:45:00,4250.0,,3.0,AMAZING LARGE 3BR RIGHT OFF THE L BEDFORDWASHER/DRYER,/brk/abo/5377346120.html,brk
2015-12-28 09:45:00,2350.0,,1.0, NO FEE  Massive 1BR  Prewar bldg  HHW incl ,/brk/abo/5377355260.html,brk
2015-12-28 09:45:00,2465.0,,2.0,New Two bedroom 200 off NICE washer dryer included,/brk/abo/5374316906.html,brk
2015-12-28 09:45:00,1600.0,,1.0,FLATBUSH EAST 17 STREET ONE BDRM APT FIRST MONTH RENT FREE,/brk/fee/5377424799.html,brk
2015-12-28 09:44:00,2325.0,,2.0,DITMAS PARK  SPACIOUS 2 Bedroom RENOVATED  DSJ 718 2663700,/brk/fee/5377423943.html,brk
2015-12-28 09:44:00,2450.0,,3.0,TERRIFIC APT A MUST SEE GREAT F/ ALL MOVE IN IMMEDIATELY,/brk/abo/5355349895.html,brk
2015-12-28 09:44:00,2449.0,,2.0,Beautiful 2 br  NEW DUPLEX,/brk/abo/5377349706.html,brk
2015-12-28 09:43:00,2895.0,,3.0,AMAZING 3BR/2BA DUPLEX APT WITH YARD  DECK  W/D INCLUDED  THE L J M TR,/brk/abo/5377348216.html,brk
2015-12-28 09:42:00,2799.0,,1.0,luxury highrise 1br in Fort Greene with Manhattan views,/brk/abo/5377352104.html,brk
2015-12-28 09:41:00,1755.0,,1.0,Morganton Apartments1 Bdrm AVAILABLE Now includes heat/water,/brk/abo/5374315638.html,brk
2015-12-28 09:41:00,2395.0,,2.0,Tremendous 2 bdrm 2 Bath w WasherDryer Located Near Downtown,/brk/abo/5377336411.html,brk
2015-12-28 09:39:00,1675.0,,2.0, AMAZING 2 bed apt Must See ,/brk/abo/5364134335.html,brk
2015-12-28 09:39:00,1890.0,,1.0, STUNNING BROWNSTONE Brand new 1 bed apt  Free Month,/brk/abo/5372317662.html,brk
2015-12-28 09:39:00,2150.0,,2.0, AMAZING 2 bed  BackyardMust See ,/brk/abo/5341640607.html,brk
2015-12-28 09:39:00,2790.0,,3.0, One of a Kind BROWNSTONE Stunning Details,/brk/abo/5372321731.html,brk
2015-12-28 09:39:00,2718.0,,3.0,\\\ \\\ Easy Commute  GORGEOUS 3.5Br  Laundry  D/W  A  C Trains,/brk/abo/5377327933.html,brk
2015-12-28 09:39:00,2995.0,1200.0,3.0, STUNNING Details Luxuries 3.5 bed in Prime Location,/brk/abo/5350616688.html,brk
2015-12-28 09:39:00,2995.0,,2.0,Beautiful 2 br  private backyardfurnished. ..,/brk/abo/5377342383.html,brk
2015-12-28 09:38:00,2050.0,,2.0, Stunning 2 bed Brownstone Prime Location,/brk/abo/5343156656.html,brk
2015-12-28 09:38:00,1850.0,,2.0, AMAZING Space STUNNING Brand New 2 bed,/brk/abo/5350622606.html,brk
2015-12-28 09:38:00,2800.0,,2.0,Luxury Rental BEDSTUY,/brk/abo/5352808547.html,brk
2015-12-28 09:38:00,3095.0,,3.0, AMAZING Space LUXURY 3 bed in PRIME Location,/brk/abo/5341501144.html,brk
2015-12-28 09:37:00,2330.0,,2.0,EXQUISITE Two BDRM  REST OF THIS MONTH IS RENT FREE,/brk/abo/5374314256.html,brk
2015-12-28 09:37:00,2575.0,,3.0, MUST SEE  SPECTACULAR 3BR FOR RENT  ROOF  WILL NOT LAST,/brk/abo/5374640906.html,brk
2015-12-28 09:37:00,2896.0,,3.0,New ConstructionSpacious AptLaundry In Bldg,/brk/abo/5377343586.html,brk
2015-12-28 09:36:00,2999.0,,4.0,THIS IS THE BEST APT YOUVE EVER SEENLARGE 3flex 4bedrooms1.5 bath,/brk/abo/5377336036.html,brk
2015-12-28 09:36:00,2950.0,,1.0,PARK SLOPE29501 BRTRIPLEX  w/YARD ,/brk/fee/5377412771.html,brk
2015-12-28 09:35:00,2195.0,,1.0,HOT DEAL 1BR WITH YARD HIGH END HUGE SPACE H/HW INCLUDEDACT FAST,/brk/abo/5377314173.html,brk
2015-12-28 09:34:00,2400.0,,1.0,Large and gorgeous apt in prime PARK SLOPE FOR LOW PRICE/PICS LARGE,/brk/fee/5377411137.html,brk
2015-12-28 09:33:00,2899.0,,3.0,MASSIVE DUPLEXPrivate Back Yard1.5bathsCentral ACAll NEWLaundry,/brk/abo/5377337658.html,brk
2015-12-28 09:33:00,3247.0,,4.0,Brand new apartment with super high ceilings  a lot of naturallight,/brk/abo/5377343270.html,brk
2015-12-28 09:32:00,2065.0,1000.0,1.0,MUST SEE    PERFECT 1BR / 1.5BA DUPLEX  BACKYARD   ROOF  LNDRY,/brk/abo/5374639369.html,brk
2015-12-28 09:32:00,850.0,1120.0,3.0,Pleasant  Updated 3Br/2Bath residence rent.newly paintedlllllll,/brk/abo/5377335666.html,brk
2015-12-28 09:31:00,1905.0,,1.0,PRICE REDUCED Gigantic One Bedroom One Bathroom Apartment,/brk/abo/5377339070.html,brk
2015-12-28 09:30:00,2795.0,,3.0,AMAZING BRAND NEW 3BR HUGE SPACE GREAT LOCATIONNO FEE,/brk/abo/5377318054.html,brk
2015-12-28 09:30:00,3000.0,,4.0,Brand new apt,/brk/abo/5377386060.html,brk
2015-12-28 09:28:00,3499.0,,3.0,Huge 3BR/1ba You must view,/brk/abo/5338482196.html,brk
2015-12-28 09:28:00,2799.0,,2.0,NO FEE luxurious 2BR/2BA IN A GREAT AREA,/brk/abo/5342172557.html,brk
2015-12-28 09:28:00,2750.0,,2.0,Brand New 2Br/1Ba in a great location,/brk/abo/5338419534.html,brk
2015-12-28 09:28:00,1999.0,,2.0,Great 2br/1ba,/brk/abo/5341747558.html,brk
2015-12-28 09:27:00,3699.0,,2.0,AMAZING 2BR/2BA DONT MISS IT,/brk/abo/5341385516.html,brk
2015-12-28 09:27:00,1899.0,,2.0,Great 2Br/1Ba great value,/brk/abo/5338224967.html,brk
2015-12-28 09:27:00,3145.0,,2.0,Two Bed/Two Bathroom for 3145,/brk/abo/5374309542.html,brk
2015-12-28 09:27:00,2700.0,,2.0,XL 2 BR RAILROAD  EATIN KITCHEN  GRAHAM L ,/brk/fee/5377402717.html,brk
2015-12-28 09:27:00,1670.0,,1.0,Near Great Schools Beautifully Landscaped Apply today,/brk/abo/5377333764.html,brk
2015-12-28 09:27:00,920.0,1250.0,3.0,Delightful  Updated 3Br/2Bath residence rent.newly paintedlll,/brk/abo/5377335773.html,brk
2015-12-28 09:26:00,1526.0,,1.0,Very Nice and Large Renovated Apartment,/brk/fee/5377401193.html,brk
